Name,D (Mpc),D_err (Mpc),q (b/a),Incl (deg),Mbar,M_gas,M*(g-r),g-r,Rh,Mh,Mh_err,M_Re,Me_gmr,Me_gmrerr,M_R235,M235_gmr,M235_gmrerr,M1kpc_gmr,M1kpc_gmrerr,Rho_h,Rho_e
GASS8096,147.8,7.390000000000001,0.387,70.23604224488676,34188171021.08787,6700821292.5169325,27487349728.57094,0.695999999999998,1.854708529898021,13743674864.28547,4043888266.853897,3.5877805499470816,18549075220.37302,4127826349.1381683,7.990637893007807,24416317253.550674,8194213137.29145,6875402192.07514,1682776291.0245492,759.2316474403577,381.4571797394072
ESO0840411,80.0,20.0,0.8581,31.60572402631042,466243697.23210627,0.0,466243697.23210627,0.277000000000001,8.006638453649288,233121848.61605316,230055037.0909799,8.328144642936222,248475804.51156607,245543149.7389988,7.973515487999997,231863402.72948396,230055037.0909799,24776959.791981563,23200087.42119807,4.7783308503625515,4.420360248738393
UGC03580,20.7,2.07,0.569,57.065718437865776,5016972158.274016,0.0,5016972158.274016,0.5690000000000008,1.828231088174431,2508486079.137008,895309023.3460945,2.2280899266124945,2865490532.6797495,1020102776.5934923,5.267378058359999,4422359656.165979,1569110393.5515127,1476725227.2852316,621434660.0863665,106.35787755623242,82.59561474096222
UGCA281,5.68,1.136,0.5266,60.18590204503836,91222162.23510647,86800000.0,4422162.235106475,-0.0779999999999994,-,-,-,0.4586981825531532,1684375.2137608838,1347995.8840398744,0.7269123239415173,3559553.878202414,2923769.173261994,-,-,1.619133371271102,2.0734333258272843
LSBF583-1,32.0,8.0,0.4627,64.79575511931607,1546096846.1410134,1368132109.3381355,177964736.80287793,0.3459999999999983,1.1719650868526819,88982368.40143897,78861864.59106971,1.8763504357344987,131613885.25135493,126447570.21288256,1.5517655918139521,115627443.35055374,117320690.18966846,74423913.33413526,66858204.03295451,14.144705075793782,6.0204376874797925
UGC191,17.6,4.4,0.3287,74.55989949201683,2711765256.080148,1880199999.9999998,831565256.0801485,0.49900000000000055,1.8374883312780947,415782628.0400742,379741939.3839169,2.3074661120632847,505359450.0178207,447779174.84976053,3.089210051540426,638170725.1383469,628830370.7139534,222525839.9409706,195144442.24415478,28.86384879630291,22.144647388405183
UGC12754,8.910633768826807,0.8910633768826808,0.1273,0,1625553204.871911,0.0,1625553204.871911,0.49599999999999866,2.0971836883440176,812776602.4359554,293503094.048464,2.173553618801367,927178635.520499,339584714.5123667,3.6560159999999993,1454123150.2944384,552314057.6886966,304810894.492676,119956789.70852198,43.50852594694444,38.662158126109055
UGC06923,5.16,1.032,0.5901,55.48500205427081,1225675719.7442074,1132600000.0,93075719.74420737,0.45300000000000296,0.5478298415424738,46537859.87210368,34794015.9112982,0.5435519345922467,46168534.25179892,34544170.50177141,1.226546851906588,71748875.546589,53409356.74053039,67462471.38155761,48352704.24672186,30.658279907476206,30.772929923090274
NGC0100,13.5,1.35,0.8677,30.48671406568103,1804552564.1728961,0.0,1804552564.1728961,0.6379999999999999,2.786892914100313,902276282.0864481,320089259.86381876,3.266462222301084,1034635249.7869604,369007477.0286887,6.245737558499999,1596424770.292518,573292318.3105133,209478069.7105639,74979832.84793177,138.97600948527415,115.77087764165702
NGC4085,18.0,4.5,0.7185,45.22427647371416,9897225953.319984,1888599999.9999998,8008625953.319985,0.697000000000001,1.385973094667891,4004312976.6599927,3508196059.375894,2.676149422083251,5696728609.298878,5012386878.454132,6.420966326706056,7858560703.3696995,6833540735.372436,2887499455.3918257,2565564230.0443487,982.5544100978648,427.5938317468627
